Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
0,2006,Moving excl. commuting,Tertiary Activities,Male,,29
0,2011,Moving excl. commuting,Tertiary Activities,Male,,29
0,2016,Moving excl. commuting,Tertiary Activities,Male,,28
0,1996,Moving excl. commuting,Tertiary Activities,Male,TRUE,26
0,2001,Moving excl. commuting,Tertiary Activities,Male,TRUE,32
0,2006,Moving excl. commuting,Tertiary Activities,Male,TRUE,29
0,2011,Moving excl. commuting,Tertiary Activities,Male,TRUE,29
0,2016,Moving excl. commuting,Tertiary Activities,Male,TRUE,28
0,1996,Moving excl. commuting,Tertiary Activities,Male,FALSE,24
0,2001,Moving excl. commuting,Tertiary Activities,Male,FALSE,31
0,2006,Moving excl. commuting,Tertiary Activities,Male,FALSE,30
0,2011,Moving excl. commuting,Tertiary Activities,Male,FALSE,29
0,2016,Moving excl. commuting,Tertiary Activities,Male,FALSE,29
0,1996,Moving excl. commuting,Tertiary Activities,Female,,24
0,2001,Moving excl. commuting,Tertiary Activities,Female,,33
0,2006,Moving excl. commuting,Tertiary Activities,Female,,32
0,2011,Moving excl. commuting,Tertiary Activities,Female,,30
0,2016,Moving excl. commuting,Tertiary Activities,Female,,30
0,1996,Moving excl. commuting,Tertiary Activities,Female,TRUE,24
0,2001,Moving excl. commuting,Tertiary Activities,Female,TRUE,33
0,2006,Moving excl. commuting,Tertiary Activities,Female,TRUE,31
0,2011,Moving excl. commuting,Tertiary Activities,Female,TRUE,30
0,2016,Moving excl. commuting,Tertiary Activities,Female,TRUE,31
0,1996,Moving excl. commuting,Tertiary Activities,Female,FALSE,25
0,2001,Moving excl. commuting,Tertiary Activities,Female,FALSE,35
0,2006,Moving excl. commuting,Tertiary Activities,Female,FALSE,33
0,2011,Moving excl. commuting,Tertiary Activities,Female,FALSE,31
0,2016,Moving excl. commuting,Tertiary Activities,Female,FALSE,30
0,1996,Rest and relaxation,Tertiary Activities,Female,FALSE,94
0,2001,Rest and relaxation,Tertiary Activities,Female,FALSE,94
0,2006,Rest and relaxation,Tertiary Activities,Female,FALSE,101
0,2011,Rest and relaxation,Tertiary Activities,Female,FALSE,104
0,2016,Rest and relaxation,Tertiary Activities,Female,FALSE,111
0,1996,Rest and relaxation,Tertiary Activities,Female,TRUE,61
0,2001,Rest and relaxation,Tertiary Activities,Female,TRUE,67
0,2006,Rest and relaxation,Tertiary Activities,Female,TRUE,71
0,2011,Rest and relaxation,Tertiary Activities,Female,TRUE,78
0,2016,Rest and relaxation,Tertiary Activities,Female,TRUE,83
0,1996,Rest and relaxation,Tertiary Activities,Female,,77
0,2001,Rest and relaxation,Tertiary Activities,Female,,81
0,2006,Rest and relaxation,Tertiary Activities,Female,,86
0,2011,Rest and relaxation,Tertiary Activities,Female,,91
0,2016,Rest and relaxation,Tertiary Activities,Female,,96
