Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
23000,2016,Sleep,Primary Activities,Male,TRUE,444
24000,2016,Sleep,Primary Activities,Male,TRUE,452
25000,2016,Sleep,Primary Activities,Male,TRUE,451
26000,2016,Sleep,Primary Activities,Male,TRUE,449
27000,2016,Sleep,Primary Activities,Male,TRUE,443
28000,2016,Sleep,Primary Activities,Male,TRUE,447
29000,2016,Sleep,Primary Activities,Male,TRUE,440
30000,2016,Sleep,Primary Activities,Male,TRUE,457
31000,2016,Sleep,Primary Activities,Male,TRUE,456
32000,2016,Sleep,Primary Activities,Male,TRUE,469
33000,2016,Sleep,Primary Activities,Male,TRUE,450
34000,2016,Sleep,Primary Activities,Male,TRUE,453
35000,2016,Sleep,Primary Activities,Male,TRUE,453
36000,2016,Sleep,Primary Activities,Male,TRUE,458
37000,2016,Sleep,Primary Activities,Male,TRUE,449
38000,2016,Sleep,Primary Activities,Male,TRUE,459
39000,2016,Sleep,Primary Activities,Male,TRUE,462
40000,2016,Sleep,Primary Activities,Male,TRUE,453
41000,2016,Sleep,Primary Activities,Male,TRUE,461
42000,2016,Sleep,Primary Activities,Male,TRUE,452
43000,2016,Sleep,Primary Activities,Male,TRUE,456
44000,2016,Sleep,Primary Activities,Male,TRUE,459
45000,2016,Sleep,Primary Activities,Male,TRUE,461
46000,2016,Sleep,Primary Activities,Male,TRUE,460
47000,2016,Sleep,Primary Activities,Male,TRUE,453
0,1996,Sleep,Primary Activities,Male,FALSE,506
1000,1996,Sleep,Primary Activities,Male,FALSE,507
2000,1996,Sleep,Primary Activities,Male,FALSE,523
3000,1996,Sleep,Primary Activities,Male,FALSE,520
4000,1996,Sleep,Primary Activities,Male,FALSE,527
5000,1996,Sleep,Primary Activities,Male,FALSE,535
6000,1996,Sleep,Primary Activities,Male,FALSE,536
7000,1996,Sleep,Primary Activities,Male,FALSE,506
8000,1996,Sleep,Primary Activities,Male,FALSE,515
9000,1996,Sleep,Primary Activities,Male,FALSE,499
10000,1996,Sleep,Primary Activities,Male,FALSE,514
11000,1996,Sleep,Primary Activities,Male,FALSE,505
